1. x11 x12 x13 {}
2. x21 x22 x23 {}
3. x31 x32 x33 {}
4. ~x11 x12 x13 {}
5. x11 ~x12 x13 {}
6. x11 x12 ~x13 {}
7. ~x21 x22 x23 {}
8. x21 ~x22 x23 {}
9. x21 x22 ~x23 {}
10. ~x31 x32 x33 {}
11. x31 ~x32 x33 {}
12. x31 x32 ~x33 {}
13. ~x11 ~x12 x13 {}
14. x11 ~x12 ~x13 {}
15. ~x11 x12 ~x13 {}
16. ~x21 ~x22 x23 {}
17. x21 ~x22 ~x23 {}
18. ~x21 x22 ~x23 {}
19. ~x31 ~x32 x33 {}
20. ~x31 x32 ~x33 {}
21. x31 ~x32 ~x33 {}
22. ~x11 ~x12 ~x13 {}
23. ~x21 ~x22 ~x23 {}
24. ~x31 ~x32 ~x33 {}
25. ~x41 {}
26. x12 x13 {4, 1}
27. x11 x13 {5, 1}
28. x11 x12 {6, 1}
29. x22 x23 {7, 2}
30. x21 x23 {8, 2}
31. x21 x22 {9, 2}
32. x32 x33 {10, 3}
33. x31 x33 {11, 3}
34. x31 x32 {12, 3}
35. ~x11 x13 {13, 4}
36. ~x12 x13 {13, 5}
37. x11 ~x12 {14, 5}
38. x11 ~x13 {14, 6}
39. ~x11 x12 {15, 4}
40. x12 ~x13 {15, 6}
41. ~x21 x23 {16, 7}
42. ~x22 x23 {16, 8}
43. x21 ~x22 {17, 8}
44. x21 ~x23 {17, 9}
45. ~x21 x22 {18, 7}
46. x22 ~x23 {18, 9}
47. ~x31 x33 {19, 10}
48. ~x32 x33 {19, 11}
49. ~x31 x32 {20, 10}
50. x32 ~x33 {20, 12}
51. x31 ~x32 {21, 11}
52. x31 ~x33 {21, 12}
53. ~x11 ~x12 {22, 13}
54. ~x12 ~x13 {22, 14}
55. ~x11 ~x13 {22, 15}
56. ~x21 ~x22 {23, 16}
57. ~x22 ~x23 {23, 17}
58. ~x21 ~x23 {23, 18}
59. ~x31 ~x32 {24, 19}
60. ~x31 ~x33 {24, 20}
61. ~x32 ~x33 {24, 21}
62. x13 {35, 27}
63. x11 {37, 28}
64. x12 {39, 28}
65. x23 {41, 30}
66. x21 {43, 31}
67. x22 {45, 31}
68. x33 {47, 33}
69. x32 {49, 34}
70. x31 {51, 34}
71. ~x12 {53, 37}
72. ~x11 {53, 39}
73. ~x13 {54, 40}
74. ~x22 {56, 43}
75. ~x21 {56, 45}
76. ~x23 {57, 46}
77. ~x31 {59, 49}
78. ~x32 {59, 51}
79. ~x33 {60, 52}
80. Contradiction {71, 64}
Valid
